,Fertility,Ch_mortality,Literacy,Gini,Energy_use,Gov_exp,Human_rights,Life_expectancy,Avg_years_school,Political_regime,Gdp_per_capita,Internet,Sanitation,Extreme_poverty,Electricity,Water,Subnutrition,Corruption,Taxes
Czech Republic,1.59,0.33,99.0,25.9,44891.83447295332,44.40663097,2.9882536789999996,79.376,12.7,9.0,32605.9063265661,78.7191728513432,99.1,0.0,100.0,100.0,2.72,59.0,34.878257
Democratic Republic of Congo,5.82,9.11,77.221672,42.1,4530.668721479339,31.76074722,-2.431054595,60.681000000000004,6.8,5.0,808.133213366763,6.209974060301191,28.7,77.1,17.1473789215088,52.4,42.09,20.0,7.113401
Denmark,1.77,0.43,99.0,28.5,32757.227395595255,57.073535,3.0364245910000003,80.898,12.6,10.0,46682.514720466905,97.09936215556209,99.6,0.2,100.0,100.0,3.0,88.0,45.38171
Djibouti,2.67,6.170000000000001,67.900002,44.1,2054.714468212336,35.62813888,-0.223077108,67.112,4.1,4.0,2705.40558882684,55.6814092453962,47.4,22.5,51.7826919555664,90.0,19.7,31.0,18.872460999999998
Dominican Republic,2.34,2.99,92.465424,44.9,8541.163832554095,18.13044,-0.29305704899999996,74.081,7.8,8.0,14600.8605841474,63.87,84.0,1.6,100.0,84.7,10.4,30.0,13.731079999999999
Ecuador,2.41,1.4500000000000002,94.515472,46.5,10370.33865572977,28.097735918,0.643758092,77.01,8.7,5.0,10581.9364286536,57.272243683102396,84.7,3.6,99.9368133544922,86.9,7.8,34.0,14.194064000000001
Egypt,3.1,2.2100000000000004,75.842621,31.8,9478.311131724606,37.38221904,-1.536419686,71.99,7.2,-4.0,10550.206495664599,44.950204245285704,94.7,1.3,100.0,99.4,4.8,35.0,20.4471431
El Salvador,2.02,1.4500000000000002,87.648216,40.8,7528.210760733358,31.521662615999997,0.24642504899999998,73.317,6.9,8.0,7292.45780376927,28.997073045597,75.0,2.2,98.618896484375,93.8,10.3,35.0,17.790209
Equatorial Guinea,4.43,8.959999999999997,95.195663,42.440000000000005,24667.194001883487,35.66925744,0.004124115,58.735,5.5,-6.0,22604.8732922993,23.779999971073998,74.5,37.260000000000005,67.889289855957,47.9,26.54,16.0,7.785975
Eritrea,3.92,4.3100000000000005,73.845253,39.48,1974.255845656352,36.5776711,-1.9641294999999999,66.321,4.0,-7.0,1510.45892910899,1.177118720157,15.7,41.22,46.6804618835449,57.8,36.480000000000004,24.0,15.11002
Estonia,1.67,0.27,99.823509,34.6,48535.788155300965,42.62489527,2.7139786060000004,78.745,12.7,9.0,29481.251806797798,88.10245687401991,97.2,0.5,100.0,99.6,2.8,73.0,32.966674
Ethiopia,3.86,5.8500000000000005,49.031521000000005,33.2,5777.953812560329,18.73085709,-1.9504934269999998,66.597,2.7,0.0,1729.9266389468,15.366923859589601,28.0,26.7,42.9,57.3,21.4,34.0,10.889907399999998
Fiji,2.45,2.53,93.699997,36.4,7299.990896153867,32.13688085,1.399055863,67.444,10.8,2.0,8702.975322021059,46.5069783122217,91.1,1.4,98.6460494995117,95.7,4.4,48.3,27.038696999999996
Finland,1.78,0.23,100.0,26.8,68904.26245238872,54.862534,3.1540192910000004,81.908,12.4,10.0,40585.7210349228,87.4689290730615,97.6,0.0,100.0,100.0,2.68,85.0,43.330519
France,1.97,0.42,99.0,32.3,42909.091626484216,58.48595,1.868426729,82.65899999999999,11.5,9.0,38605.6708967878,80.5,98.7,0.0,100.0,100.0,3.1399999999999997,72.0,46.231155
French Guiana,3.21,1.7570000000000001,93.2985266,45.870000000000005,20353.031193417053,26.303422223000002,0.6947481131,79.952,6.817,3.7,23278.65004787365,38.155819159320444,76.47,15.979999999999999,93.51603286743163,92.67999999999999,10.200000000000001,39.7,16.653562100000002
French Polynesia,1.97,1.0610000000000002,98.0,37.41000000000001,17842.39789396582,33.019210064000006,0.7883650823999999,77.657,9.87,4.6,19463.626579241754,68.440419493378,98.5,1.6,100.0,100.0,4.4,48.3,27.8144248
Gabon,3.59,4.83,83.237877,42.2,31468.725354038663,25.58873211,0.072854102,66.467,8.2,3.0,16562.4133558094,48.0522737506185,41.9,3.4,91.39550018310551,93.2,9.4,31.0,20.494221
Gambia,5.22,6.36,55.572762,47.3,1004.985978964549,29.61859907,0.641877161,62.05,3.5,-5.0,1561.7668428766299,18.5,58.9,10.1,47.7570877075195,90.2,9.6,37.0,10.221838
Georgia,1.97,1.08,99.759621,38.5,13698.632811913109,30.27121287,0.846184377,73.767,12.8,7.0,9745.07890399104,60.491257553378,86.3,4.2,100.0,100.0,7.4,58.0,25.837979
Germany,1.48,0.3700000000000001,99.0,31.4,44398.099691270116,47.05467,2.930530899,81.32600000000001,14.1,10.0,45229.2452947032,84.3955007745673,99.2,0.0,100.0,100.0,2.9000000000000004,80.0,37.544319
Ghana,3.81,4.93,76.575897,42.2,3896.637653846191,26.32325,0.23130234,64.074,7.1,8.0,4227.62984443235,34.66600065,14.9,12.0,79.3,88.7,6.1,41.0,12.549528
Greece,1.3,0.53,95.29287,35.8,25377.48681692608,56.89827,0.723140758,82.23899999999999,10.8,10.0,24574.382476123,69.0879154723892,99.0,1.5,100.0,100.0,5.21,45.0,38.843658000000005
Guadeloupe,1.9,1.248,93.8691977,43.85000000000001,19701.399710075948,28.887736912,0.9604918293000001,82.13799999999999,7.574,2.0,25132.409331730116,37.61305133944252,80.78,15.039999999999997,94.28955429077148,94.84,6.909999999999999,48.7,18.4422894
Guatemala,2.82,2.76,79.074211,48.7,9653.999220274809,21.875577792000005,0.296720965,74.30199999999999,6.5,8.0,7423.80759192956,34.5093260915602,63.9,8.7,91.7792282104492,92.8,15.8,27.0,10.78232
Guinea,4.62,8.57,30.472790000000003,33.7,3788.900262120294,23.44649825,0.002368991,61.602,2.6,4.0,1998.9257198823498,9.8,20.1,35.3,33.5,76.8,19.7,28.0,13.163892
Guinea-Bissau,4.41,8.42,59.77285,50.7,764.0954993160243,21.26292672,1.2016491040000001,58.321999999999996,3.0,6.0,1548.67470304471,3.761413832337,20.8,67.1,14.6557903289795,79.3,26.0,16.0,10.370042999999999
Guyana,2.44,3.1300000000000003,87.53531600000001,44.5,7775.425910152715,35.229025992000004,0.90521378,69.906,8.4,7.0,7435.0470900237,35.66,83.7,14.0,84.24290466308591,98.3,7.5,37.0,22.851663000000002
Haiti,2.77,7.170000000000001,60.68935,40.9,4568.2775910558585,33.955957,0.5902569529999999,64.001,5.3,0.0,1653.17250369424,12.2326016070408,27.6,23.5,38.69016647338871,57.7,45.8,20.0,13.731527999999999
Honduras,2.35,1.82,88.424583,50.1,7069.465878688868,26.557384999999996,-0.621338298,75.27,6.5,7.0,4541.79525706075,30.0,82.6,16.0,87.57662963867192,91.2,15.3,29.0,21.979026
Hong Kong,1.36,0.7690000000000001,93.5,34.01,22916.730403209025,20.461962,1.8488881668000001,84.85700000000001,12.0,-0.7,56054.919832030304,89.41594464875651,95.42000000000002,1.3199999999999998,100.0,89.34,4.700000000000001,76.0,13.574932999999998
Hungary,1.41,0.45,99.380882,30.9,28292.903334217863,52.31766,1.0897121779999999,76.875,11.9,10.0,26777.5607913953,76.75054712019221,98.0,0.5,100.0,100.0,2.81,46.0,37.540668
Iceland,1.91,0.21,99.0,25.6,203279.5260190737,49.88447,4.937323598,82.993,12.4,-20.0,46482.9582874747,98.2400162999185,98.8,0.0,100.0,100.0,3.3800000000000003,76.0,36.789971
India,2.26,3.94,72.22530400000001,35.2,7413.294965217454,31.685709999999997,-1.394107965,69.656,6.4,9.0,6426.67440634599,29.547162885875398,39.6,21.2,84.5268173217773,94.1,14.8,41.0,17.575219
Indonesia,2.29,2.54,95.43768299999999,39.5,10279.884662206388,19.83875,-0.43393711100000004,71.71600000000001,8.0,9.0,11188.7440161175,32.2924418958799,60.8,5.7,97.62,87.4,7.7,38.0,9.879192999999999
Iran,1.59,1.4900000000000002,87.172531,38.8,35163.19380949315,25.001489000000003,-1.3779358419999999,76.67699999999999,9.8,-7.0,19082.619603326002,60.416356152717896,90.0,0.2,100.0,96.2,4.9,28.0,7.974628999999999
Iraq,4.19,3.04,79.72176400000001,29.5,16438.961451553503,45.35017773,-2.388372091,70.604,6.8,6.0,15663.9860708075,49.359998889012296,85.6,2.5,100.0,86.6,27.7,18.0,1.377809
Ireland,1.98,0.35000000000000003,99.0,31.9,32795.15615519238,49.97858,2.7184008960000003,82.305,12.5,10.0,67335.2934089652,84.5153886280647,90.5,0.2,100.0,97.9,3.56,73.0,22.870822
Israel,2.89,0.36000000000000004,97.099998,41.4,32306.69001443899,48.39927,-1.064022925,82.97200000000001,13.0,6.0,33132.3203044888,81.58118358716109,100.0,0.5,100.0,100.0,5.890000000000001,61.0,32.506833
Italy,1.51,0.34,99.015793,34.7,28862.80652670178,54.502990000000004,1.368498227,83.512,10.2,10.0,35220.0837894122,61.301142762601096,99.5,2.0,100.0,100.0,4.460000000000001,52.0,42.205890000000004
Jamaica,1.97,1.52,88.499901,45.5,11412.661330700288,35.023452188,-0.026261613,74.475,9.8,9.0,8193.57064989072,44.3668563671334,81.8,1.7,98.2042694091797,93.8,8.9,44.0,25.788199
Japan,1.5,0.26,99.0,32.1,39874.120422129774,41.222902000000005,2.370679835,84.62899999999999,12.8,10.0,39002.2233247384,90.8730421537137,100.0,0.2,100.0,100.0,2.5,73.0,32.003607
Jordan,3.18,1.7000000000000002,98.014351,33.7,10798.693135418383,35.3144039,0.145846286,74.52600000000001,10.4,-3.0,8337.489701029,62.3021925670712,98.6,0.1,100.0,96.9,13.5,49.0,15.067294
Kazakhstan,2.54,1.0,99.787849,26.5,51574.85297992259,22.79110755,-0.158347042,73.597,11.8,-6.0,24055.588323854503,76.4267482325439,97.5,0.0,100.0,92.9,2.7,31.0,16.594704
Kenya,3.68,4.5600000000000005,78.023399,48.5,5971.150045247887,31.85596316,-1.201222357,66.699,6.5,9.0,2993.0284484752697,16.6,30.1,36.8,56.0,63.2,24.2,27.0,15.581335999999999
Kuwait,1.94,0.81,96.11770600000001,37.17,104167.82026199953,38.56994152,0.694287592,75.48899999999999,7.3,-7.0,65530.5365781216,97.9999893344615,100.0,1.5899999999999996,100.0,99.0,6.510000000000001,41.0,1.65467
Kyrgyzstan,2.86,2.0,99.50131999999999,29.0,7564.169538171535,37.37230975,-0.403234839,71.45,10.9,7.0,3393.4736128414397,34.5,93.3,1.4,99.99610137939449,90.0,6.5,29.0,24.73011
Laos,2.54,6.34,79.867462,36.4,4885.15490645815,21.7003218,0.91023329,67.923,5.2,-7.0,6397.35982538814,21.87,70.9,22.7,87.0957717895508,75.7,16.6,29.0,12.238808
Latvia,1.59,0.42,99.89269300000001,35.1,25316.6876468942,40.21468676,2.059508776,75.292,12.8,8.0,25063.8455453213,81.3158617001063,87.8,0.7,100.0,99.3,2.9,58.0,30.20492
Lebanon,1.7,0.78,94.051102,31.8,15553.56694713933,39.25997436,-0.23126407,78.93,8.7,6.0,13367.5650219298,76.11,80.7,0.0,100.0,99.0,10.9,28.0,15.529584
Lesotho,2.95,8.590000000000002,79.36093100000001,54.2,111.47225401770784,63.85051645,0.2225541,54.331,6.3,8.0,2851.15275428862,27.36,30.3,59.6,29.7333087921143,81.8,12.8,41.0,28.165442
Liberia,4.38,7.4700000000000015,47.60014,33.2,3726.984031358553,31.614610499999998,0.978316668,64.104,4.7,6.0,752.787839463112,7.31910641139578,16.9,38.6,19.8,75.6,38.8,32.0,14.3059215
Libya,2.16,1.2400000000000002,91.38887,39.239999999999995,33496.07391102802,66.58626921,-1.9757514319999998,72.913,7.3,0.0,17881.5093512674,20.27215956269,96.6,14.12,98.5367279052735,71.2,10.18,17.0,1.192523
Lithuania,1.68,0.43,99.82328000000001,37.7,27764.0105109626,40.26541671,2.225502696,75.933,13.0,10.0,29524.264600668397,77.61525651245141,92.4,0.7,100.0,96.6,3.34,59.0,29.605807000000002
Luxembourg,1.61,0.26,100.0,31.2,76157.95665058537,49.27626239999999,5.129846482,82.25,12.1,10.0,94277.9653571589,97.82762612993722,97.6,0.2,100.0,100.0,4.699999999999999,81.0,38.708555
Macao,1.39,0.9070000000000003,96.2276,40.1,67928.42027150161,32.87441520200001,1.2793895225,84.244,5.46,1.7,104861.851096529,83.17408906882591,93.47,1.4099999999999997,100.0,95.5,11.4,64.0,28.158875
Macedonia,1.56,1.37,97.843758,35.6,14683.533125230177,32.02562541,0.8484066720000001,75.797,9.6,9.0,13111.213574425501,72.1568144676058,90.9,5.0,100.0,99.4,4.1,37.0,25.543343
Madagascar,4.02,4.420000000000001,64.65630300000001,42.7,4230.798060541273,16.72470907,-0.23040146,67.041,6.1,6.0,1416.4395072846398,9.8,12.0,77.6,22.9,51.5,43.1,25.0,11.45087
Malawi,4.38,5.54,65.963829,46.1,3149.440637703625,38.30150102,0.43562612799999995,64.263,4.5,6.0,1095.0420887580099,11.47,41.0,71.4,11.0,90.2,26.3,32.0,17.501414
Malaysia,1.98,0.79,94.636993,46.3,34512.50537109333,30.65710241,-0.21265187600000002,76.156,10.2,5.0,26808.1640645679,80.14047901039609,96.0,0.0,100.0,98.2,2.9,47.0,13.130089000000002
Maldives,1.98,0.79,99.321022,38.4,10347.159817895075,45.59444801,0.5559452570000001,78.921,6.3,2.9,15183.6163982888,59.0925899654109,97.9,7.3,100.0,98.6,11.0,31.0,19.486416000000002
Mali,5.79,10.6,33.068871,33.0,4478.839024437775,25.30659926,-1.197660938,59.306000000000004,2.3,5.0,2014.30586969334,11.1121864890589,24.7,49.7,35.0694999694824,77.0,6.0,32.0,15.164975
Malta,1.49,0.6400000000000001,94.066612,37.21,20718.896464913763,46.24047693000001,2.8031736339999997,82.53,11.3,9.4,36513.323442225,80.07137783986249,100.0,0.0,100.0,100.0,3.6799999999999997,54.0,32.699849
Martinique,1.87,1.248,94.4378348,48.37000000000001,16251.803607832244,28.338615796,1.0444413181,82.545,6.611,3.1,22879.047538581515,38.96627622498859,79.65,14.35,90.93768089294433,94.63,8.14,49.4,19.1430864
Mauritania,4.49,7.9,52.123562,32.4,3219.5405467150517,29.95406875,-0.06432388,64.925,4.5,-2.0,3597.63253011137,18.0,40.0,6.0,41.652107238769496,57.9,11.3,27.0,17.370335
Mauritius,1.42,1.31,90.616043,35.8,12925.839813979212,27.63561388,0.9581803990000001,74.991,9.3,10.0,20292.7446336139,52.191325935652294,93.1,0.5,98.7817840576172,99.9,5.8,51.0,18.695201
Mayotte,3.63,2.086,92.4834273,50.400000000000006,14773.657548687654,28.081495520000004,1.2364236452000001,79.455,6.700000000000001,2.3,15356.182428485587,40.95581915932045,66.93,17.23,83.66836479187012,93.69999999999999,16.959999999999997,52.1,18.334424700000003
Mexico,2.09,1.34,94.54559300000001,48.2,17305.64831003057,27.97363,-1.4230183859999999,75.054,8.6,8.0,17336.469071694,63.8522490942939,85.2,2.5,100.0,96.1,3.8,28.0,13.701247
Moldova,1.23,1.55,99.244392,27.0,10796.533404454003,39.80546212,0.48455235700000004,71.90100000000001,11.6,9.0,5189.97166016505,70.9999991066624,76.4,0.2,100.0,88.4,6.65,33.0,27.945003000000003
Mongolia,2.63,1.72,98.367638,32.0,21378.724903348088,45.40481814,0.47747559999999994,69.87,10.1,10.0,11840.8461179669,22.265770500756197,59.7,0.5,81.775032043457,64.4,18.7,37.0,20.360968
Montenegro,1.65,0.35000000000000003,98.719948,31.9,17890.011482607257,45.22511571,1.557095013,76.884,11.3,9.0,16409.2876960117,71.2723325399382,95.9,0.0,100.0,99.7,2.7600000000000002,45.0,36.090035
