,Population,Fertility,Ch_mortality,Literacy,Gini,Energy_use,Gov_exp,Human_rights,Life_expectancy,Avg_years_school,Political_regime,Gdp_per_capita,Internet,Sanitation,Extreme_poverty,Electricity,Water,Subnutrition,Corruption,Taxes
Afghanistan,38042000.0,4.18,6.790000000000001,38.168040999999995,,,22.9868095,-2.311016703,64.833,3.8,-1.0,1803.98748708124,10.5957264186601,31.9,,84.1371383666992,55.3,30.3,16.0,9.506653
Albania,2881000.0,1.7,0.8800000000000001,97.55390200000001,29.0,9402.34141450083,31.65025311,0.851179641,78.57300000000001,10.0,9.0,11803.4305936025,66.363444701023,93.2,1.1,100.0,95.1,5.5,36.0,23.52533
Algeria,43053000.0,2.59,2.4000000000000004,79.608398,27.6,15364.387111365351,40.68145846,0.35419684700000004,76.88,8.0,2.0,13913.839363481899,42.9455268800332,87.6,0.5,99.43956756591801,83.6,4.7,35.0,14.321747
Angola,31825000.0,5.48,8.11,71.164162,42.7,6338.820907483548,39.55557754,-0.388862744,61.147,5.1,-2.0,5819.49497145261,13.0,51.6,30.1,40.5206069946289,49.0,23.9,19.0,16.626938
Argentina,44781000.0,2.25,1.04,98.089973,42.7,23436.625278564567,43.26559,0.784109255,76.667,9.9,9.0,18933.9071474396,70.96898082060241,96.4,0.6,100.0,99.1,3.8,40.0,30.086376
Armenia,2958000.0,1.59,1.26,99.768417,32.4,11840.168524750408,25.90722895,0.106262163,75.087,11.7,5.0,8787.57993972036,64.3460297653742,89.5,1.8,100.0,100.0,4.3,35.0,21.244073
Australia,25203000.0,1.82,0.35000000000000003,99.0,34.7,63683.759272651165,36.743111999999996,1.753645266,83.436,12.9,10.0,44648.7099113362,86.54472053577021,100.0,0.5,100.0,100.0,,77.0,28.57852
Austria,8955000.0,1.53,0.36000000000000004,98.0,30.5,44197.48225872493,52.71051,2.275798607,81.544,12.1,10.0,45436.6858219914,87.93558658560622,100.0,0.7,100.0,100.0,,76.0,41.750322
Azerbaijan,10048000.0,2.02,2.3000000000000003,99.80526,31.8,17469.169098651448,34.64542411,-0.397757013,73.005,10.7,-7.0,15847.418832752901,79.0,89.3,0.0,100.0,87.0,2.5,25.0,16.506068
Bahamas,389000.0,1.74,0.7200000000000001,95.599998,,24087.04517305041,,0.844839947,73.918,11.1,,27717.847297520897,80.0,92.0,,100.0,98.4,,65.0,15.101101000000002
Bahrain,1641000.0,1.96,0.73,95.717262,,123208.18677384016,32.05186875,-0.37373598700000005,77.292,9.4,-10.0,43290.704518074504,95.87813575434531,99.2,,100.0,100.0,,36.0,1.0698809999999999
Bangladesh,163046000.0,2.02,3.24,61.493832,32.1,2584.429755428616,17.99112519,-1.4225034769999998,72.59100000000001,5.8,1.0,3523.9838506259202,18.246938002944898,60.6,14.8,75.92,86.9,15.2,26.0,8.413986999999999
Barbados,287000.0,1.8,1.2400000000000002,99.699997,,16888.031866739115,,1.171229206,79.19,10.6,,16978.0676859393,79.5493978888735,96.2,,100.0,99.7,3.7,68.0,28.066132
Belarus,9452000.0,1.72,0.3700000000000001,99.722038,26.7,34058.69011181682,37.09294391,-0.02901722,74.791,12.3,-7.0,17167.9672600246,74.4364454136036,94.3,0.0,100.0,99.7,3.0,44.0,34.572055999999996
Belgium,11539000.0,1.8,0.38,99.0,28.1,54518.96338328691,56.54201,2.7295903839999998,81.628,11.8,8.0,42658.57617009,87.6796808175598,99.5,0.0,100.0,100.0,,75.0,44.410083
Belize,390000.0,2.41,1.42,82.77681700000001,53.3,6937.30374957692,,0.9406957570000001,74.623,10.5,-20.0,7824.3624589234205,44.57574032,90.5,14.9,92.2143173217773,99.5,6.5,,25.971657
Benin,11801000.0,4.77,9.83,38.447140000000005,47.8,4847.334749918151,21.97955548,0.8836726640000001,61.771,3.6,7.0,2064.23633398033,11.994047908223,19.7,49.6,41.402614593505895,77.9,10.4,40.0,15.888945000000001
Bhutan,763000.0,1.96,3.08,63.90681800000001,38.8,4130.849338678635,40.03084768,1.7952943730000002,71.777,3.1,5.0,8708.59712072611,41.7726445321672,50.4,1.5,100.0,100.0,,68.0,12.34805
Bolivia,11513000.0,2.77,3.49,95.141922,45.8,9173.794629488155,36.60507,0.993489422,71.513,8.9,7.0,6885.8285774203505,39.6975146032685,50.3,7.1,93.0391311645508,90.0,19.8,29.0,23.783098000000003
Bosnia and Herzegovina,3301000.0,1.41,0.5700000000000001,98.485764,33.8,25516.87100568087,49.82208027,1.163504478,77.40100000000001,9.7,,11713.8947839235,69.4911524225288,94.8,0.2,100.0,99.9,2.6,38.0,37.695249
Botswana,2304000.0,2.6,3.76,88.224411,60.5,14568.668262493396,32.19808448,1.214679585,69.592,9.3,8.0,15807.3735945626,39.36299738,63.4,18.2,60.6883964538574,96.2,28.5,61.0,23.153546
